borough,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
City of London,8,14,18,28,33,34,35,39,37,36,39,34,31,29,29,30,29
Barking and Dagenham,5,14,17,21,20,25,33,28,30,27,25,23,19,25,25,24,25
Barnet,16,20,27,29,31,31,33,33,34,33,36,38,37,37,37,35,32
Bexley,21,30,38,40,42,51,51,51,53,54,55,54,52,53,52,54,54
Brent,10,14,20,22,21,28,29,33,37,43,41,35,36,36,37,37,34
Bromley,20,23,27,32,34,36,40,44,50,49,50,48,46,47,50,50,51
Camden,19,25,27,28,27,28,30,32,33,31,29,26,25,27,30,31,26
Croydon,14,13,16,20,23,28,32,33,38,44,42,40,38,39,38,47,49
Ealing,15,15,19,25,29,35,38,40,41,41,40,40,43,51,49,53,48
Enfield,16,24,27,30,28,27,31,32,35,39,39,39,36,37,36,33,33
Greenwich,12,19,22,24,31,42,35,37,39,40,39,34,35,35,35,33,33
Hackney,6,12,16,20,22,23,24,25,24,24,25,25,25,27,27,28,28
Hammersmith and Fulham,16,20,21,24,27,28,27,28,30,23,21,21,22,23,24,24,26
Haringey,9,14,19,25,26,22,25,28,26,32,36,37,36,36,33,29,30
Harrow,16,19,27,28,40,43,46,50,48,45,49,45,41,40,41,40,39
Havering,8,16,18,20,24,27,34,31,35,35,32,32,32,37,37,37,38
Hillingdon,34,27,28,31,34,35,41,43,43,43,43,44,44,43,40,37,37
Hounslow,20,17,19,20,22,24,33,35,35,35,35,35,34,30,30,31,32
Islington,7,11,18,24,26,28,29,30,32,31,33,33,29,32,29,29,30
Kensington and Chelsea,15,18,20,24,28,30,31,32,34,26,25,25,26,26,26,27,32
Kingston upon Thames,19,18,24,24,26,35,46,47,47,46,46,46,46,47,48,49,27
Lambeth,12,16,22,23,25,26,27,28,28,23,21,28,29,29,30,30,42
Lewisham,8,10,12,16,22,21,17,18,17,20,18,17,18,18,22,28,20
Merton,15,20,23,25,27,30,34,36,37,39,39,38,35,36,37,39,25
Newham,2,6,10,14,14,15,19,15,23,21,18,17,15,14,14,17,44
Redbridge,9,16,17,19,22,26,32,28,33,29,29,29,28,27,24,25,29
Richmond upon Thames,24,24,29,32,36,42,43,43,45,46,43,41,41,42,42,43,49
Southwark,7,11,15,18,20,21,22,25,27,30,34,35,35,34,35,35,35
Sutton,25,28,29,30,32,32,38,38,37,37,37,38,35,37,50,49,49
Tower Hamlets,5,7,9,12,13,19,26,25,27,28,28,28,27,28,26,23,22
Waltham Forest,12,18,22,28,30,28,28,27,27,31,33,36,35,34,32,32,32
Wandsworth,18,17,21,23,25,27,25,27,28,24,20,21,21,22,22,23,24
Westminster,11,15,18,20,23,23,24,25,25,22,21,19,17,17,19,22,20
